Food Item,Dining Location,Cost,Calories,Nuts,Vegan,Gluten Free,Halal,Vegetarian,No Dairy,Comments,Eggs,Fish,Milk,Peanuts,Sesame,Soy,TreeNuts,Wheat,Sulfites,Last Updated,Food Category
Blueberry Cheesecake Filled Timbit,Tim Hortons,0.49,50.0,,N,N,Y,Y,N,"Blueberry Cheesecake Filled Yeast Timbit: Enriched wheat flour, Filling (water, sugars [sugar, blueberry juice concentrate], cream cheese [milk ingredients, salt, locust bean gum, bacterial culture], modified corn starch, salt, lactic acid, natural flavour, citrus fibre, rowanberry fruit extract, tapioca flour, hydroxypropyl methylcellulose), Water, Palm oil shortening (palm oil and/or modified palm oil), Yeast, Sugars (sugar, dextrose), Soybean oil, Whey powder (milk), Salt, Sodium acid pyrophosphate, Sodium bicarbonate, Mono- and diglycerides, Sodium stearoyl-2-lactylate, Guar gum, Wheat starch, Natural flavour, Ascorbic acid, L-cysteine hydrochloride, Amylase, Xylanase.",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Donut
Blueberry Crumble Muffin,Tunnel Junction,3.3,310.0,,N,N,Y,Y,N,,Y,N,Y,N,N,N,N,Y,,9/26/2025,Muffin
Blueberry Muffin,Starbucks,3.65,350.0,,N,N,Y,Y,N,,Y,N,Y,N,N,Y,Y,Y,,1/15/2026,Muffin
Blueberry Tart,Teraanga Commons Dining Hall,,120.0,,F,F,F,F,N,,,N,Y,N,N,,N,Y,,10/6/2025,Tart
Bok Choy,Teraanga Commons Dining Hall,,0.0,,T,T,F,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Vegetables
Boston Cream Donut,Tim Hortons,1.69,240.0,,N,N,Y,Y,N,"Contains: Milk, Wheat & Gluten, Sulphites May Contain: Egg, Soy, Tree Nuts",,N,Y,N,N,,,Y,,9/25/2025,Donut
Braised Beef Ragu (3000 millilitre),Teraanga Commons Dining Hall,,160.0,,F,T,F,F,N,,N,N,,N,N,N,N,,,10/6/2025,Stew
Breakfast Bowl,Riverbank Social,14.99,,,N,N,Y,N,N,"House made fries with montreal smoked meat, sauteed peppers, onions, cheese curds, sunnyside up egg and hollandaise sauce",Y,N,N,N,N,,N,,,1/13/2026,Combo
Breakfast Express,Riverbank Social,9.99,,,N,N,N,N,N,"Two eggs with toast, fries, bacon or pork sausage",Y,N,N,N,N,N,N,Y,,1/13/2026,Combo
Breakfast Express Deluxe,Riverbank Social,12.75,,,N,N,N,N,N,"Two eggs with toast, fries, bacon or pork sausage and fruit",Y,N,N,N,N,N,N,Y,,1/13/2026,Combo
Breakfast Pastries & Fruit,Riverbank Social,9.99,,,N,N,Y,Y,,,Y,N,N,,,N,,Y,,1/13/2026,Combo
Breakfast Pita,Rooster's,6.99,,,N,N,Y,Y,N,A double serving of egg with cheese and your choice of two toppings all wrapped up in a pita.,Y,N,Y,N,N,N,N,Y,,10/30/2025,Pita with protein
Breakfast Sammy,Leo's Lounge,2.5,,,N,N,,N,N,,Y,N,Y,N,N,N,N,Y,,9/26/2025,Sandwich
Breakfast Wrap,Bridgehead,6.95,,,N,N,,N,,,Y,N,,,N,N,,Y,,9/24/2025,Wrap
Broccoli,Teraanga Commons Dining Hall,,70.0,,T,T,F,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Broccoli
Budget Friendly Box,Basil Box,10.0,,,,,,,,,,,,,,,,,,3/24/2026,Rice Bowl
Buffalo Chicken Pizza,Teraanga Commons Dining Hall,,180.0,,F,F,F,F,N,"spicy buffalo chicken, red onion, buffalo sauce, mozzarella, blue cheese",,N,Y,N,,,N,Y,,10/6/2025,Pizza
Buffalo Chicken Wrap,Tunnel Junction,8.2,460.0,,N,N,Y,N,Y,,N,N,N,N,N,N,N,Y,,9/26/2025,Wrap
Buffalo Ranch Potato Salad (1000 gram),Teraanga Commons Dining Hall,,140.0,,F,T,F,F,N,"red potatoes, red pepper, celery, green onion, buffalo ranch dressing",,N,Y,N,,,N,N,,10/6/2025,Potato Salad
Build Your Own Bowl,Twisted Beet,10.4,,,,Y,Y,Y,Y,"Build your own delicious creation by choosing your base, a variety of vegetables, protein and dressing!",N,,,N,N,,N,,Y,3/23/2026,Rice Bowl
Build Your Own Sandwich,Urban Deli,9.2,,,,N,,,,,,,,,,,,,,9/26/2025,Sandwich
Burger Patty,Rodney's Kitchen,3.5,230.0,,N,N,N,N,Y,,,N,N,N,N,N,N,N,,1/13/2026,Hamburger
Burrito Bowl,Ollies,14.0,,,N,N,N,N,N,,N,N,Y,N,N,N,N,N,,1/14/2026,Rice Bowl
Butter Chicken,Mike's Place,9.79,,,N,N,Y,N,N,,N,N,Y,N,N,N,,N,,10/1/2025,Curry
Butter Chicken Poutine,Burger 101,11.9,,,N,N,,N,N,,N,N,Y,N,N,N,N,N,,1/14/2026,Poutine With Protein
Butter Croissant,Starbucks,3.95,260.0,,N,N,Y,Y,N,,Y,N,Y,N,N,N,N,Y,,1/15/2026,Croissant
Butter Oats,Bridgehead,6.45,,,N,Y,Y,Y,N,,N,N,Y,,N,N,,Y,N,9/24/2025,Oatmeal
Buttered Croissant,Riverbank Social,3.99,,,N,N,Y,Y,N,"A buttered croissant with scrambled eggs, cheddar cheese and bacon or sausage",Y,N,Y,N,N,N,N,Y,,1/13/2026,Croissant
