Food Item,Dining Location,Cost,Calories,Vegan,Gluten Free,Halal,Vegetarian,No Dairy,Comments,Eggs,Fish,Milk,Peanuts,Sesame,Soy,TreeNuts,Wheat,Sulfites,Last Updated,Food Category
Reese's Minis Dream Cookies,Tim Hortons,2.29,380,N,N,Y,N,N,"Enriched wheat flour, Sugars (sugar, invert sugar, fancy molasses), White chocolate chunks (sugar, cocoa butter, milk ingredients, soy lecithin, natural flavour), Butter (milk), Palm oil margarine, Milk chocolate chunks (sugar, whole milk powder, cocoa butter, unsweetened chocolate, soy lecithin, salt, natural flavour), Liquid whole eggs, Peanut butter flavoured chips (sugars [sugar, dextrose], modified palm kernel oil, partially defatted peanut flour, skim milk powder, modified palm oil, soy lecithin, salt), Peanut butter (peanuts, icing sugar, hydrogenated vegetable oil [rapeseed, cottonseed, and soybean], salt), Natural flavour, Baking powder, Sodium bicarbonate, Salt. Reese's Mini Peanut Butter Cups: Milk chocolate (sugars [sugar, lactose], cocoa butter, milk ingredients, unsweetened chocolate, lecithin [soy], polyglycerol polyricinoleate), Peanuts, Sugars (sugar, dextrose), Modified palm oil and modified vegetable oil (shea, sunflower and/or safflower), Hydrogenated palm kernel oil, Hydrogenated palm oil, Palm kernel oil, Salt, Polyglycerol polyricinoleate, TBHQ, Citric acid.",N,N,Y,N,N,Y,N,Y,,9/25/2025,Cookie
Sugar Cookie,Teraanga Commons Dining Hall,,110,F,F,T,T,N,,Y,N,Y,N,N,,N,,,10/6/2025,Cookie
Corn,Teraanga Commons Dining Hall,,50,T,T,T,T,Y,,N,N,N,N,N,N,N,N,,10/6/2025,Corn
Pogos,Ollies,6.5,,N,N,N,N,Y,,N,N,N,N,N,N,N,Y,,1/14/2026,Corn Dog
Dried Cranberries,Teraanga Commons Dining Hall,,25,T,T,T,T,Y,,N,N,N,N,N,,N,N,,10/6/2025,Cranberry
Baked Apple Croissant,Starbucks,4.45,250,N,N,Y,Y,N,,Y,N,Y,N,N,N,N,Y,,1/15/2026,Croissant
Butter Croissant,Starbucks,3.95,260,N,N,Y,Y,N,,Y,N,Y,N,N,N,N,Y,,1/15/2026,Croissant
Buttered Croissant,Riverbank Social,3.99,,N,N,Y,Y,N,"A buttered croissant with scrambled eggs, cheddar cheese and bacon or sausage",Y,N,Y,N,N,N,N,Y,,1/13/2026,Croissant
Cheddar Croissant,Bridgehead,4.95,,N,N,Y,Y,N,,N,N,Y,,N,N,,Y,,9/24/2025,Croissant
Cheese Croissant,Tim Hortons,2.59,290,N,N,Y,Y,N,"Enriched wheat flour, Water, Butter, Margarine (palm oil, canola oil, soy lecithin), Sugar, Yeast, Salt, Whey powder, Dextrose, Xanthan gum, Natural flavour, Wheat gluten, Annatto, Turmeric, Ascorbic acid, Enzymes. Cheese Topping: Milk, Modified milk ingredients, Cream, Salt, Bacterial culture, Calcium chloride, Annatto (colour), Microbial enzyme.",N,N,Y,N,N,Y,N,Y,,9/25/2025,Croissant
Chocolate Croissant,Starbucks,4.45,340,N,N,Y,Y,N,,Y,N,Y,N,N,Y,N,Y,,1/15/2026,Croissant
Chocolate Croissant,Tim Hortons,2.59,350,N,N,Y,Y,N,"Enriched wheat flour, Palm and canola margarine, Water, Chocolate (sugars [sugar, dextrose], unsweetened chocolate, cocoa butter, soy lecithin, vanilla), Sugar, Yeast, Wheat gluten, Salt, Whey powder, Ascorbic acid, Enzymes. Chocolate Topping: Sugars (sugar, glucose [corn syrup]), Water, Caramel colour, Anthocyanins (colour), Cocoa (processed with alkali), Rowanberry fruit extract, Tapioca flour, Natural flavour.",N,N,Y,N,N,Y,N,Y,,9/25/2025,Croissant
Chocolatine Croissant,Bridgehead,4.95,,N,N,Y,Y,N,,N,N,Y,,N,N,,Y,,9/24/2025,Croissant
